date,home_team,away_team,result,season,result_code
2017-12-06,Nepomniachtchi,Karjakin,D,2017,0
2017-12-08,Adams,Nepomniachtchi,A,2017,-1
2017-12-08,Anand,Karjakin,D,2017,0
2017-12-08,Nakamura,Carlsen,D,2017,0
2017-12-08,So,Aronian,D,2017,0
2017-12-08,Adams,Nepomniachtchi,A,2017,-1
2017-12-08,MVL,Caruana,D,2017,0
2017-12-09,Nepomniachtchi,Anand,H,2017,1
2017-12-09,Caruana,So,D,2017,0
2017-12-09,Aronian,Nakamura,D,2017,0
2017-12-09,Eljanov,Wojtaszek,D,2017,0
2017-12-09,Carlsen,Adams,H,2017,1
2017-12-09,Matlakov,Vitiugov,D,2017,0
2017-12-09,Karjakin,MVL,A,2017,-1
2017-12-10,Svidler,Tomashevsky,D,2017,0
2017-12-10,Vitiugov,Fedoseev,H,2017,1
2017-12-10,So,Karjakin,D,2017,0
2017-12-10,Carlsen,Nepomniachtchi,A,2017,-1
2017-12-10,Nakamura,Caruana,D,2017,0
2017-12-10,MVL,Anand,D,2017,0
2017-12-10,Adams,Aronian,D,2017,0
2017-12-11,Karjakin,Nakamura,D,2017,0
2017-12-11,Nepomniachtchi,MVL,D,2017,0
2017-12-11,Aronian,Carlsen,A,2017,-1
2017-12-11,Caruana,Adams,H,2017,1
2017-12-11,Anand,So,A,2017,-1
2017-12-12,Svidler,Matlakov,D,2017,0
2017-12-13,Fedoseev,Svidler,A,2017,-1
2017-12-14,Grischuk,Harikrishna,D,2017,0
2017-12-14,Mamedov,Le Quang Liem,H,2017,1
2017-12-14,Le Quang Liem,Ivanchuk,H,2017,1
2017-12-14,Yu Yangyi,Mamedyarov,D,2017,0
2017-12-14,Ding Liren,Wang Hao,D,2017,0
2017-12-14,Harikrishna,Grischuk,D,2017,0
2017-12-14,Le Quang Liem,Mamedov,A,2017,-1
2017-12-14,Mamedyarov,Yu Yangyi,A,2017,-1
2017-12-14,Grischuk,Yu Yangyi,H,2017,1
2017-12-14,Harikrishna,Wang Hao,D,2017,0
2017-12-14,Mamedyarov,Ding Liren,D,2017,0
2017-12-14,Wang Hao,Ding Liren,A,2017,-1
2017-12-14,Ivanchuk,Le Quang Liem,H,2017,1
2017-12-14,Yu Yangyi,Andreikin,H,2017,1
2017-12-14,Ivanchuk,Mamedyarov,A,2017,-1
2017-12-14,Harikrishna,Mamedov,H,2017,1
2017-12-14,Mamedyarov,Ivanchuk,D,2017,0
2017-12-14,Le Quang Liem,Ding Liren,D,2017,0
2017-12-14,Ding Liren,Le Quang Liem,H,2017,1
2017-12-14,Andreikin,Yu Yangyi,D,2017,0
2017-12-14,Yu Yangyi,Grischuk,D,2017,0
2017-12-14,Wang Hao,Harikrishna,D,2017,0
2017-12-14,Mamedov,Harikrishna,A,2017,-1
2017-12-14,Ding Liren,Mamedyarov,D,2017,0
2017-12-15,Le Quang Liem,Mamedyarov,A,2017,-1
2017-12-15,Harikrishna,Yu Yangyi,H,2017,1
2017-12-15,Mamedov,Andreikin,A,2017,-1
2017-12-15,Mamedyarov,Le Quang Liem,H,2017,1
2017-12-15,Wang Hao,Grischuk,D,2017,0
2017-12-15,Andreikin,Mamedov,D,2017,0
2017-12-15,Grischuk,Wang Hao,H,2017,1
2017-12-15,Andreikin,Grischuk,D,2017,0
2017-12-15,Ding Liren,Harikrishna,D,2017,0
2017-12-15,Ivanchuk,Wang Hao,A,2017,-1
2017-12-15,Yu Yangyi,Mamedov,H,2017,1
2017-12-15,Grischuk,Andreikin,D,2017,0
2017-12-15,Harikrishna,Ding Liren,D,2017,0
2017-12-15,Mamedov,Yu Yangyi,D,2017,0
2017-12-15,Wang Hao,Ivanchuk,H,2017,1
2017-12-15,Yu Yangyi,Harikrishna,H,2017,1
2017-12-31,Wei Yi,Navara,A,2017,-1
2018-01-01,Navara,Wei Yi,D,2018,0
2018-01-02,Wei Yi,Navara,H,2018,1
2018-01-03,Navara,Wei Yi,D,2018,0
2018-01-13,Kramnik,Wei Yi,H,2018,1
2018-01-13,Anand,Matlakov,H,2018,1
2018-01-13,Carlsen,Caruana,D,2018,0
2018-01-13,So,Mamedyarov,D,2018,0
2018-01-14,Karjakin,Anand,D,2018,0
2018-01-14,Matlakov,So,D,2018,0
2018-01-14,Wei Yi,Svidler,D,2018,0
2018-01-14,Giri,Kramnik,H,2018,1
2018-01-15,Anand,Caruana,H,2018,1
2018-01-15,So,Karjakin,D,2018,0
2018-01-15,Mamedyarov,Matlakov,D,2018,0
2018-01-15,Svidler,Giri,D,2018,0
2018-01-15,Carlsen,Wei Yi,D,2018,0
2018-01-16,Caruana,So,D,2018,0
2018-01-16,Karjakin,Mamedyarov,D,2018,0
2018-01-16,Kramnik,Svidler,H,2018,1
2018-01-16,Giri,Carlsen,D,2018,0
2018-01-17,Anand,Wei Yi,D,2018,0
2018-01-17,Carlsen,Kramnik,D,2018,0
2018-01-17,Mamedyarov,Caruana,H,2018,1
2018-01-17,Matlakov,Karjakin,D,2018,0
